Sequoia_ID,Season_Year,Species,Harvest_Date,How_Taken,Harvest_BMU,Harvest_County,Registration_Sex,BirthYear,Latitude,Longitude
BB21_272,2021,Black Bear,11-Sep-21,Hunting,Carney,Dickinson,F,2018,46.6002170749,-90.1452984607
BB21_276,2021,Black Bear,28-Sep-21,Hunting,Newberry,Chippewa,M,2021,46.3691728498,-89.959179876
BB21_277,2021,Black Bear,11-Sep-21,Hunting,Gwinn,Marquette,M,2020,46.3101166106,-84.5617646815
BB21_380,2021,Black Bear,13-Sep-21,Hunting,Newberry,Chippewa,F,2021,46.1509831094,-85.9800924062
BB21_842,2021,Black Bear,14-Sep-21,Hunting,Newberry,Chippewa,M,2021,46.2665179233,-86.3135054621
BB21_371,2021,Black Bear,15-Sep-21,Hunting,Amasa,Iron,F,2020,46.0515268013,-88.1909488826
BB21_374,2021,Black Bear,9-Sep-21,Hunting,Amasa,Iron,M,2018,46.0944863861,-88.7310411041
BB21_375,2021,Black Bear,13-Sep-21,Hunting,Carney,Menominee,M,2019,46.6290643522,-89.3547622791
BB21_377,2021,Black Bear,9-Sep-21,Hunting,Newberry,Mackinac,F,2021,46.1069074391,-86.2301818814
BB21_376,2021,Black Bear,16-Sep-21,Hunting,Carney,Menominee,M,2018,46.3823477735,-86.2305817528
BB21_378,2021,Black Bear,30-Sep-21,Hunting,Carney,Delta,M,2019,46.5573274902,-87.9391593544
BB21_1381,2021,Black Bear,13-Sep-21,Hunting,Amasa,Iron,F,2016,46.0510758181,-88.1282407489
BB21_843,2021,Black Bear,29-Sep-21,Hunting,Newberry,Chippewa,M,2021,46.3387265315,-84.8955141091
BB21_844,2021,Black Bear,8-Sep-21,Hunting,Bergland,Gogebic,M,2020,45.9344060614,-87.1288579637
BB21_846,2021,Black Bear,11-Sep-21,Hunting,Amasa,Marquette,F,2018,46.3093992829,-86.1038060005
BB21_840,2021,Black Bear,8-Sep-21,Hunting,Carney,Menominee,M,2020,46.6142600613,-89.3752478925
BB21_845,2021,Black Bear,8-Sep-21,Hunting,Amasa,Iron,F,2012,46.2103235161,-88.9806055056
BB21_847,2021,Black Bear,5-Oct-21,Hunting,Carney,Dickinson,F,2020,46.5428591649,-87.7501536535
BB21_841,2021,Black Bear,15-Sep-21,Hunting,Newberry,Mackinac,M,2021,46.3817411952,-86.0217236323
BB21_849,2021,Black Bear,1-Oct-21,Hunting,Newberry,Mackinac,M,2021,46.6434274884,-88.9173465432
BB21_852,2021,Black Bear,26-Sep-21,Hunting,Amasa,Iron,M,2020,45.9925418338,-87.1285600534
BB21_854,2021,Black Bear,9-Sep-21,Hunting,Carney,Dickinson,F,2018,46.3694354519,-87.521505343
BB21_850,2021,Black Bear,3-Oct-21,Hunting,Newberry,Chippewa,M,2021,46.0790478413,-87.27345651
BB21_853,2021,Black Bear,8-Sep-21,Hunting,Amasa,Iron,F,2007,46.2086625783298,-88.5305761575624
BB21_851,2021,Black Bear,9-Sep-21,Hunting,Amasa,Iron,F,2015,45.9201403448,-87.2116717581
BB21_855,2021,Black Bear,29-Sep-21,Hunting,Carney,Dickinson,F,2019,46.4705889329,-88.6060885343
BB21_848,2021,Black Bear,13-Sep-21,Hunting,Newberry,Chippewa,M,2021,46.4614323839738,-85.9274690548815
BB21_860,2021,Black Bear,8-Sep-21,Hunting,Gwinn,Marquette,M,2019,45.7455848894,-87.6252276317
BB21_858,2021,Black Bear,30-Sep-21,Hunting,Newberry,Mackinac,F,2021,46.0648361903,-85.7067286737
BB21_857,2021,Black Bear,8-Sep-21,Hunting,Newberry,Mackinac,F,2021,46.2665179233,-86.3135054621
BB21_862,2021,Black Bear,14-Sep-21,Hunting,Amasa,Gogebic,M,2019,46.3259417215,-88.6063626399
BB21_863,2021,Black Bear,30-Sep-21,Hunting,Carney,Dickinson,M,2020,46.700225352,-88.168280379
BB21_856,2021,Black Bear,17-Sep-21,Hunting,Newberry,Chippewa,M,2019,46.2813743168,-86.3965426332
BB21_861,2021,Black Bear,9-Sep-21,Hunting,Bergland,Gogebic,M,2019,46.2102747791,-87.8768910222
BB21_859,2021,Black Bear,8-Sep-21,Hunting,Amasa,Iron,M,2018,46.1373047854,-87.2103065165
BB21_865,2021,Black Bear,28-Sep-21,Hunting,Newberry,Chippewa,F,2021,46.4128414219,-88.5226244743
BB21_868,2021,Black Bear,10-Sep-21,Hunting,Newberry,Chippewa,M,2021,46.1509831094,-85.9800924062
BB21_864,2021,Black Bear,9-Sep-21,Hunting,Carney,Menominee,F,2020,46.4986681471,-89.7929679915
BB21_870,2021,Black Bear,21-Sep-21,Hunting,Amasa,Iron,F,2020,46.6281434087,-88.126856471
BB21_869,2021,Black Bear,13-Sep-21,Hunting,Carney,Menominee,F,2019,46.556341272,-89.8549977908
BB21_871,2021,Black Bear,13-Sep-21,Hunting,Amasa,Iron,M,2020,46.4128881216,-88.8145749075
BB21_867,2021,Black Bear,14-Sep-21,Hunting,Newberry,Chippewa,M,2021,46.1653785239,-85.9801629859
BB21_866,2021,Black Bear,18-Sep-21,Hunting,Newberry,Chippewa,F,2021,46.6280345314,-85.8748792257
BB21_1194,2021,Black Bear,24-Sep-21,Hunting,Gwinn,Delta,M,2015,46.4844312684,-89.2308254703
BB21_1204,2021,Black Bear,20-Oct-21,Hunting,Gwinn,Delta,M,2017,46.0483114932,-86.0217602236
